date,city,temperature,humidity,condition
2020-04-30,New York,-9.0,83,Clear
2020-05-01,New York,36.0,39,Clear
2020-05-02,New York,29.5,53,Snow
2020-05-03,New York,-8.5,33,Drizzle
2020-05-04,New York,-9.1,98,Snow
2020-05-05,New York,-4.8,86,Thunderstorm
2020-05-06,New York,13.6,55,Clouds
2020-05-07,New York,39.5,49,Fog
2020-05-08,New York,33.0,24,Thunderstorm
2020-05-09,New York,1.6,26,Rain
2020-05-10,New York,11.5,33,Fog
2020-05-11,New York,-3.5,28,Rain
2020-05-12,New York,28.6,70,Rain
2020-05-13,New York,-5.9,74,Clear
2020-05-14,New York,10.9,41,Fog
2020-05-15,New York,9.3,22,Fog
2020-05-16,New York,28.6,63,Snow
2020-05-17,New York,-1.3,87,Thunderstorm
2020-05-18,New York,8.6,54,Snow
2020-05-19,New York,38.5,80,Snow
2020-05-20,New York,21.3,61,Clouds
2020-05-21,New York,-5.3,80,Clear
2020-05-22,New York,-4.5,99,Fog
2020-05-23,New York,25.0,35,Clouds
2020-05-24,New York,37.8,50,Clear
2020-05-25,New York,14.3,25,Drizzle
2020-05-26,New York,12.0,61,Clouds
2020-05-27,New York,36.6,32,Rain
2020-05-28,New York,28.3,71,Clouds
2020-05-29,New York,18.6,55,Clouds
2020-05-30,New York,38.5,42,Snow
2020-05-31,New York,21.2,24,Rain
2020-06-01,New York,-7.1,39,Clear
2020-06-02,New York,34.2,54,Rain
2020-06-03,New York,23.8,32,Rain
2020-06-04,New York,15.6,72,Clear
2020-06-05,New York,2.8,93,Fog
2020-06-06,New York,34.1,91,Fog
2020-06-07,New York,-5.7,29,Thunderstorm
2020-06-08,New York,3.9,84,Fog
2020-06-09,New York,22.4,95,Thunderstorm
2020-06-10,New York,37.0,54,Fog
2020-06-11,New York,28.6,52,Clear
2020-06-12,New York,23.9,90,Clouds
2020-06-13,New York,31.3,24,Clouds
2020-06-14,New York,3.7,32,Fog
2020-06-15,New York,33.2,58,Drizzle
2020-06-16,New York,29.7,59,Clouds
2020-06-17,New York,2.4,26,Fog
2020-06-18,New York,-5.0,66,Drizzle
2020-06-19,New York,28.2,83,Clouds
2020-06-20,New York,6.6,99,Drizzle
2020-06-21,New York,-3.5,69,Rain
2020-06-22,New York,18.5,39,Drizzle
2020-06-23,New York,35.2,95,Thunderstorm
2020-06-24,New York,20.4,71,Fog
2020-06-25,New York,38.2,72,Thunderstorm
2020-06-26,New York,28.7,62,Rain
2020-06-27,New York,24.9,28,Thunderstorm
2020-06-28,New York,18.2,75,Clear
2020-06-29,New York,-7.3,92,Drizzle
2020-06-30,New York,35.2,31,Drizzle
2020-07-01,New York,20.3,90,Clear
2020-07-02,New York,14.5,87,Thunderstorm
2020-07-03,New York,-0.0,67,Fog
2020-07-04,New York,39.0,48,Drizzle
2020-07-05,New York,17.7,26,Rain
2020-07-06,New York,4.9,86,Fog
2020-07-07,New York,11.2,80,Snow
2020-07-08,New York,24.8,36,Rain
2020-07-09,New York,0.5,56,Drizzle
2020-07-10,New York,35.9,77,Clear
2020-07-11,New York,35.3,48,Fog
2020-07-12,New York,1.6,56,Drizzle
2020-07-13,New York,3.4,94,Drizzle
2020-07-14,New York,5.6,23,Snow
2020-07-15,New York,22.8,64,Thunderstorm
2020-07-16,New York,38.7,20,Rain
2020-07-17,New York,17.7,100,Thunderstorm
2020-07-18,New York,5.2,53,Thunderstorm
2020-07-19,New York,36.9,35,Clear
2020-07-20,New York,18.6,42,Drizzle
2020-07-21,New York,-2.9,47,Snow
2020-07-22,New York,32.7,59,Rain
2020-07-23,New York,19.0,98,Clouds
2020-07-24,New York,-0.4,34,Snow
2020-07-25,New York,8.0,35,Fog
2020-07-26,New York,-0.0,74,Fog
2020-07-27,New York,30.2,73,Clear
2020-07-28,New York,34.6,45,Clouds
2020-07-29,New York,38.9,59,Thunderstorm
2020-07-30,New York,3.1,96,Drizzle
2020-07-31,New York,8.8,90,Fog
2020-08-01,New York,9.9,91,Rain
2020-08-02,New York,33.6,28,Snow
2020-08-03,New York,35.5,69,Clouds
2020-08-04,New York,26.6,34,Clouds
2020-08-05,New York,37.2,43,Snow
2020-08-06,New York,13.3,28,Snow
2020-08-07,New York,37.2,89,Clear
2020-08-08,New York,31.2,90,Clear
2020-08-09,New York,4.3,60,Snow
2020-08-10,New York,31.7,27,Clear
2020-08-11,New York,-4.2,40,Drizzle
2020-08-12,New York,-3.1,64,Fog
2020-08-13,New York,33.9,34,Thunderstorm
2020-08-14,New York,0.3,21,Snow
2020-08-15,New York,9.5,34,Clouds
2020-08-16,New York,0.4,91,Clear
2020-08-17,New York,11.2,77,Thunderstorm
2020-08-18,New York,25.8,50,Drizzle
2020-08-19,New York,-2.4,80,Clear
2020-08-20,New York,6.6,68,Snow
2020-08-21,New York,3.3,74,Clear
2020-08-22,New York,17.6,97,Clear
2020-08-23,New York,11.6,73,Thunderstorm
2020-08-24,New York,15.6,25,Clear
2020-08-25,New York,-2.6,26,Fog
2020-08-26,New York,-3.7,51,Clear
2020-08-27,New York,34.1,34,Snow
2020-08-28,New York,13.9,62,Clear
2020-08-29,New York,17.8,52,Fog
2020-08-30,New York,16.6,79,Rain
2020-08-31,New York,36.4,25,Fog
2020-09-01,New York,26.0,77,Clouds
2020-09-02,New York,25.2,73,Clear
2020-09-03,New York,38.5,78,Rain
2020-09-04,New York,34.8,41,Drizzle
2020-09-05,New York,15.9,74,Drizzle
2020-09-06,New York,-8.5,20,Rain
2020-09-07,New York,9.1,89,Drizzle
2020-09-08,New York,25.4,87,Thunderstorm
2020-09-09,New York,27.0,74,Clear
2020-09-10,New York,23.8,46,Snow
2020-09-11,New York,39.8,44,Fog
2020-09-12,New York,28.9,69,Clouds
2020-09-13,New York,-5.9,91,Rain
2020-09-14,New York,26.8,77,Thunderstorm
2020-09-15,New York,39.2,41,Rain
2020-09-16,New York,4.5,72,Clear
2020-09-17,New York,0.9,81,Thunderstorm
2020-09-18,New York,18.6,58,Clouds
2020-09-19,New York,24.4,23,Clear
2020-09-20,New York,11.5,68,Clouds
2020-09-21,New York,25.5,21,Drizzle
2020-09-22,New York,34.5,27,Thunderstorm
2020-09-23,New York,20.4,42,Rain
2020-09-24,New York,36.0,50,Clouds
2020-09-25,New York,1.8,76,Fog
2020-09-26,New York,34.9,99,Fog
2020-09-27,New York,4.6,95,Clear
2020-09-28,New York,-6.5,68,Fog
2020-09-29,New York,10.1,51,Fog
2020-09-30,New York,8.5,88,Rain
2020-10-01,New York,-4.8,83,Snow
2020-10-02,New York,12.8,47,Clear
2020-10-03,New York,20.1,70,Clear
2020-10-04,New York,0.4,79,Thunderstorm
2020-10-05,New York,-9.0,84,Clouds
2020-10-06,New York,25.9,94,Thunderstorm
2020-10-07,New York,-7.0,71,Rain
2020-10-08,New York,24.9,57,Thunderstorm
2020-10-09,New York,38.9,34,Fog
2020-10-10,New York,18.5,67,Drizzle
2020-10-11,New York,27.4,86,Snow
2020-10-12,New York,28.8,91,Clouds
2020-10-13,New York,3.9,82,Fog
2020-10-14,New York,25.6,40,Rain
2020-10-15,New York,13.1,60,Fog
2020-10-16,New York,35.3,31,Thunderstorm
2020-10-17,New York,38.3,59,Thunderstorm
2020-10-18,New York,6.8,57,Snow
2020-10-19,New York,-6.9,70,Fog
2020-10-20,New York,-2.8,56,Rain
2020-10-21,New York,32.1,56,Fog
2020-10-22,New York,2.6,90,Thunderstorm
2020-10-23,New York,3.1,92,Fog
2020-10-24,New York,1.4,78,Drizzle
2020-10-25,New York,15.9,60,Clouds
2020-10-26,New York,8.0,82,Fog
2020-10-27,New York,5.9,21,Drizzle
2020-10-28,New York,-8.6,34,Thunderstorm
2020-10-29,New York,27.2,81,Fog
2020-10-30,New York,-8.5,98,Rain
2020-10-31,New York,32.1,28,Drizzle
2020-11-01,New York,30.9,51,Drizzle
2020-11-02,New York,-0.4,63,Rain
2020-11-03,New York,37.3,42,Thunderstorm
2020-11-04,New York,22.4,100,Fog
2020-11-05,New York,2.8,43,Thunderstorm
2020-11-06,New York,21.8,69,Clouds
2020-11-07,New York,34.1,50,Rain
2020-11-08,New York,3.0,83,Thunderstorm
2020-11-09,New York,38.5,58,Fog
2020-11-10,New York,25.9,79,Clouds
2020-11-11,New York,-3.4,22,Drizzle
2020-11-12,New York,4.5,44,Drizzle
2020-11-13,New York,14.3,27,Thunderstorm
2020-11-14,New York,0.3,96,Snow
2020-11-15,New York,36.8,93,Drizzle
2020-11-16,New York,37.4,78,Fog
2020-11-17,New York,34.7,90,Snow
2020-11-18,New York,13.0,50,Rain
2020-11-19,New York,33.6,90,Snow
2020-11-20,New York,28.1,63,Fog
2020-11-21,New York,15.9,37,Clouds
2020-11-22,New York,22.2,58,Rain
2020-11-23,New York,34.9,73,Snow
2020-11-24,New York,29.9,85,Clouds
2020-11-25,New York,8.4,85,Rain
2020-11-26,New York,24.6,50,Fog
2020-11-27,New York,38.1,90,Snow
2020-11-28,New York,35.3,66,Rain
2020-11-29,New York,14.8,56,Clear
2020-11-30,New York,22.5,47,Fog
2020-12-01,New York,20.5,22,Clouds
2020-12-02,New York,24.2,41,Thunderstorm
2020-12-03,New York,20.5,54,Thunderstorm
2020-12-04,New York,-5.9,30,Clouds
2020-12-05,New York,29.3,40,Snow
2020-12-06,New York,29.6,99,Snow
2020-12-07,New York,28.0,93,Drizzle
2020-12-08,New York,-7.7,22,Drizzle
2020-12-09,New York,25.8,51,Thunderstorm
2020-12-10,New York,-4.2,91,Drizzle
2020-12-11,New York,20.3,22,Clear
2020-12-12,New York,-3.1,71,Thunderstorm
2020-12-13,New York,22.9,90,Clouds
2020-12-14,New York,5.5,55,Clear
2020-12-15,New York,-4.9,51,Drizzle
2020-12-16,New York,11.8,26,Snow
2020-12-17,New York,32.2,65,Drizzle
2020-12-18,New York,8.5,41,Clouds
2020-12-19,New York,25.8,57,Snow
2020-12-20,New York,1.1,28,Rain
2020-12-21,New York,25.4,58,Fog
2020-12-22,New York,22.2,50,Rain
2020-12-23,New York,33.8,32,Thunderstorm
2020-12-24,New York,31.4,84,Snow
2020-12-25,New York,33.8,93,Drizzle
2020-12-26,New York,-8.3,79,Snow
2020-12-27,New York,15.6,50,Clear
2020-12-28,New York,20.2,45,Thunderstorm
2020-12-29,New York,17.5,100,Rain
2020-12-30,New York,34.5,36,Fog
2020-12-31,New York,-1.0,45,Clouds
2021-01-01,New York,16.8,36,Rain
2021-01-02,New York,29.0,82,Clear
2021-01-03,New York,-4.9,79,Fog
2021-01-04,New York,19.3,58,Thunderstorm
2021-01-05,New York,19.5,36,Thunderstorm
2021-01-06,New York,32.7,23,Drizzle
2021-01-07,New York,-7.7,43,Clouds
2021-01-08,New York,28.5,44,Snow
2021-01-09,New York,8.5,42,Clouds
2021-01-10,New York,-8.8,45,Thunderstorm
2021-01-11,New York,20.7,97,Drizzle
2021-01-12,New York,10.5,90,Clear
2021-01-13,New York,24.3,75,Rain
2021-01-14,New York,18.7,87,Rain
2021-01-15,New York,16.4,55,Clouds
2021-01-16,New York,23.4,70,Snow
2021-01-17,New York,8.6,24,Clear
2021-01-18,New York,-2.9,64,Fog
2021-01-19,New York,4.2,29,Drizzle
2021-01-20,New York,25.4,41,Clear
2021-01-21,New York,36.7,57,Drizzle
2021-01-22,New York,0.1,53,Clear
2021-01-23,New York,-1.0,49,Fog
2021-01-24,New York,11.0,58,Rain
2021-01-25,New York,-4.8,96,Thunderstorm
2021-01-26,New York,-9.9,70,Thunderstorm
2021-01-27,New York,13.2,46,Snow
2021-01-28,New York,20.6,80,Thunderstorm
2021-01-29,New York,35.6,56,Thunderstorm
2021-01-30,New York,21.0,54,Thunderstorm
2021-01-31,New York,28.6,57,Clear
2021-02-01,New York,21.1,99,Drizzle
2021-02-02,New York,-8.1,32,Clear
2021-02-03,New York,36.6,61,Fog
2021-02-04,New York,19.7,69,Fog
2021-02-05,New York,10.7,89,Clear
2021-02-06,New York,9.6,34,Rain
2021-02-07,New York,-2.1,92,Drizzle
2021-02-08,New York,-7.3,41,Drizzle
2021-02-09,New York,4.2,80,Clouds
2021-02-10,New York,-2.6,70,Drizzle
2021-02-11,New York,5.8,24,Fog
2021-02-12,New York,-7.2,69,Drizzle
2021-02-13,New York,6.8,82,Drizzle
2021-02-14,New York,25.8,87,Clouds
2021-02-15,New York,2.7,30,Clear
2021-02-16,New York,7.0,49,Drizzle
2021-02-17,New York,-0.6,49,Rain
2021-02-18,New York,18.2,80,Thunderstorm
2021-02-19,New York,37.3,55,Clouds
2021-02-20,New York,22.0,80,Thunderstorm
2021-02-21,New York,38.0,52,Clouds
2021-02-22,New York,13.3,40,Fog
2021-02-23,New York,19.7,93,Fog
2021-02-24,New York,23.6,87,Rain
2021-02-25,New York,15.1,76,Thunderstorm
2021-02-26,New York,-7.4,69,Thunderstorm
2021-02-27,New York,38.1,93,Drizzle
2021-02-28,New York,25.0,71,Clouds
2021-03-01,New York,9.8,69,Drizzle
2021-03-02,New York,-1.3,44,Clouds
2021-03-03,New York,-8.8,84,Clouds
2021-03-04,New York,18.6,21,Thunderstorm
2021-03-05,New York,-0.1,45,Rain
2021-03-06,New York,4.7,61,Clear
2021-03-07,New York,28.8,55,Snow
2021-03-08,New York,-0.6,99,Thunderstorm
2021-03-09,New York,16.7,83,Fog
2021-03-10,New York,-3.6,81,Drizzle
2021-03-11,New York,34.1,90,Snow
2021-03-12,New York,37.6,60,Clear
2021-03-13,New York,29.3,41,Rain
2021-03-14,New York,39.7,39,Clouds
2021-03-15,New York,-1.5,85,Thunderstorm
2021-03-16,New York,-6.2,33,Clouds
2021-03-17,New York,-0.9,64,Thunderstorm
2021-03-18,New York,37.2,60,Fog
2021-03-19,New York,29.0,45,Rain
2021-03-20,New York,-7.2,45,Fog
2021-03-21,New York,11.3,24,Snow
2021-03-22,New York,22.8,84,Drizzle
2021-03-23,New York,11.5,31,Rain
2021-03-24,New York,16.1,20,Snow
2021-03-25,New York,2.7,64,Thunderstorm
2021-03-26,New York,-1.3,44,Drizzle
2021-03-27,New York,25.0,69,Fog
2021-03-28,New York,28.2,22,Thunderstorm
2021-03-29,New York,-2.2,35,Clear
2021-03-30,New York,-9.6,67,Thunderstorm
2021-03-31,New York,12.5,52,Thunderstorm
2021-04-01,New York,-7.3,87,Clouds
2021-04-02,New York,35.6,56,Thunderstorm
2021-04-03,New York,39.3,51,Snow
2021-04-04,New York,19.0,32,Clouds
2021-04-05,New York,37.9,34,Thunderstorm
2021-04-06,New York,30.0,34,Thunderstorm
2021-04-07,New York,39.0,79,Drizzle
2021-04-08,New York,38.9,41,Snow
2021-04-09,New York,-1.4,64,Thunderstorm
2021-04-10,New York,37.9,72,Clear
2021-04-11,New York,-5.6,37,Thunderstorm
2021-04-12,New York,20.3,28,Fog
2021-04-13,New York,14.2,92,Fog
2021-04-14,New York,0.7,23,Clear
2021-04-15,New York,10.1,43,Snow
2021-04-16,New York,-9.9,41,Clear
2021-04-17,New York,-1.6,92,Clouds
2021-04-18,New York,-0.4,96,Fog
2021-04-19,New York,8.2,81,Clouds
2021-04-20,New York,38.9,84,Drizzle
2021-04-21,New York,28.1,57,Clear
2021-04-22,New York,12.0,23,Clear
2021-04-23,New York,-4.7,25,Drizzle
2021-04-24,New York,16.6,72,Thunderstorm
2021-04-25,New York,-8.8,65,Clear
2021-04-26,New York,-7.8,68,Thunderstorm
2021-04-27,New York,3.3,44,Thunderstorm
2021-04-28,New York,12.2,26,Snow
2021-04-29,New York,10.7,93,Drizzle
2021-04-30,New York,-2.4,36,Clear
2021-05-01,New York,23.7,49,Thunderstorm
2021-05-02,New York,12.2,61,Clouds
2021-05-03,New York,4.8,26,Clouds
2021-05-04,New York,36.0,26,Snow
2021-05-05,New York,37.8,62,Thunderstorm
2021-05-06,New York,23.4,40,Rain
2021-05-07,New York,28.3,46,Rain
2021-05-08,New York,-8.1,36,Snow
2021-05-09,New York,33.4,36,Clouds
2021-05-10,New York,-7.8,75,Fog
2021-05-11,New York,30.5,20,Clear
2021-05-12,New York,29.0,99,Clouds
2021-05-13,New York,-3.2,80,Rain
2021-05-14,New York,-6.8,69,Drizzle
2021-05-15,New York,2.7,73,Thunderstorm
2021-05-16,New York,27.0,47,Drizzle
2021-05-17,New York,8.2,94,Clouds
2021-05-18,New York,0.6,72,Clear
2021-05-19,New York,-7.3,32,Rain
2021-05-20,New York,24.0,23,Fog
2021-05-21,New York,7.8,63,Thunderstorm
2021-05-22,New York,22.3,72,Snow
2021-05-23,New York,8.6,82,Rain
2021-05-24,New York,6.9,98,Thunderstorm
2021-05-25,New York,1.9,31,Rain
2021-05-26,New York,37.8,34,Clear
2021-05-27,New York,30.7,62,Fog
2021-05-28,New York,36.4,49,Snow
2021-05-29,New York,11.5,91,Rain
2021-05-30,New York,28.2,81,Thunderstorm
2021-05-31,New York,7.3,32,Thunderstorm
2021-06-01,New York,7.4,47,Drizzle
2021-06-02,New York,-5.6,51,Drizzle
2021-06-03,New York,28.5,28,Fog
2021-06-04,New York,23.3,99,Drizzle
2021-06-05,New York,17.3,70,Thunderstorm
2021-06-06,New York,17.2,82,Fog
2021-06-07,New York,27.0,46,Clouds
2021-06-08,New York,28.4,48,Fog
2021-06-09,New York,21.7,54,Rain
2021-06-10,New York,23.8,51,Clouds
2021-06-11,New York,22.3,66,Drizzle
2021-06-12,New York,26.0,44,Snow
2021-06-13,New York,30.9,28,Drizzle
2021-06-14,New York,-2.3,23,Clouds
2021-06-15,New York,19.3,42,Clear
2021-06-16,New York,21.1,72,Clouds
2021-06-17,New York,39.9,29,Snow
2021-06-18,New York,22.3,24,Snow
2021-06-19,New York,-2.0,99,Drizzle
2021-06-20,New York,2.4,30,Rain
2021-06-21,New York,-1.6,25,Fog
2021-06-22,New York,-3.0,32,Fog
2021-06-23,New York,3.6,43,Rain
2021-06-24,New York,23.7,20,Drizzle
2021-06-25,New York,21.0,44,Rain
2021-06-26,New York,25.8,33,Snow
2021-06-27,New York,2.0,29,Clouds
2021-06-28,New York,19.4,69,Fog
2021-06-29,New York,3.5,63,Clear
2021-06-30,New York,18.0,34,Thunderstorm
2021-07-01,New York,37.6,43,Thunderstorm
2021-07-02,New York,16.5,100,Snow
2021-07-03,New York,37.0,29,Drizzle
2021-07-04,New York,32.4,96,Snow
2021-07-05,New York,14.6,93,Clear
2021-07-06,New York,-1.2,21,Snow
2021-07-07,New York,16.0,42,Rain
2021-07-08,New York,15.1,27,Thunderstorm
2021-07-09,New York,1.8,87,Rain
2021-07-10,New York,-1.1,27,Snow
2021-07-11,New York,-6.8,60,Clouds
2021-07-12,New York,5.2,65,Thunderstorm
2021-07-13,New York,9.2,69,Clouds
2021-07-14,New York,0.6,81,Rain
2021-07-15,New York,16.5,50,Drizzle
2021-07-16,New York,0.1,99,Clouds
2021-07-17,New York,-6.3,97,Clouds
2021-07-18,New York,-4.5,35,Rain
2021-07-19,New York,15.9,26,Thunderstorm
2021-07-20,New York,-7.2,65,Clouds
2021-07-21,New York,4.8,38,Rain
2021-07-22,New York,30.6,99,Drizzle
2021-07-23,New York,2.3,33,Thunderstorm
2021-07-24,New York,8.8,20,Thunderstorm
2021-07-25,New York,29.2,39,Snow
2021-07-26,New York,16.2,77,Rain
2021-07-27,New York,22.7,30,Clear
2021-07-28,New York,3.5,33,Clear
2021-07-29,New York,-5.2,72,Snow
2021-07-30,New York,8.0,97,Rain
2021-07-31,New York,18.4,60,Clear
2021-08-01,New York,-7.2,60,Rain
2021-08-02,New York,6.6,82,Drizzle
2021-08-03,New York,-9.0,100,Fog
2021-08-04,New York,2.8,86,Fog
2021-08-05,New York,33.8,20,Thunderstorm
2021-08-06,New York,24.0,64,Snow
2021-08-07,New York,21.9,78,Snow
2021-08-08,New York,3.3,21,Rain
2021-08-09,New York,6.6,21,Clear
2021-08-10,New York,5.7,62,Clouds
2021-08-11,New York,31.6,21,Snow
2021-08-12,New York,-3.0,28,Fog
2021-08-13,New York,-6.4,54,Clear
2021-08-14,New York,30.6,36,Fog
2021-08-15,New York,-5.2,99,Thunderstorm
2021-08-16,New York,38.0,45,Rain
2021-08-17,New York,12.3,51,Thunderstorm
2021-08-18,New York,33.0,70,Clear
2021-08-19,New York,-0.5,42,Drizzle
2021-08-20,New York,8.7,53,Drizzle
2021-08-21,New York,22.8,92,Rain
2021-08-22,New York,8.6,97,Rain
2021-08-23,New York,-5.4,94,Clouds
2021-08-24,New York,12.8,87,Clear
2021-08-25,New York,25.2,71,Snow
2021-08-26,New York,37.3,51,Drizzle
2021-08-27,New York,-4.4,29,Fog
2021-08-28,New York,-0.1,27,Fog
2021-08-29,New York,28.5,74,Thunderstorm
2021-08-30,New York,6.8,65,Snow
2021-08-31,New York,9.6,41,Fog
2021-09-01,New York,13.3,68,Fog
2021-09-02,New York,-8.7,70,Clear
2021-09-03,New York,-9.8,31,Fog
2021-09-04,New York,32.9,92,Clear
2021-09-05,New York,1.0,29,Clear
2021-09-06,New York,27.4,65,Snow
2021-09-07,New York,29.9,53,Snow
2021-09-08,New York,20.0,42,Fog
2021-09-09,New York,24.6,33,Clear
2021-09-10,New York,14.7,35,Thunderstorm
2021-09-11,New York,37.6,34,Rain
2021-09-12,New York,23.7,62,Thunderstorm
2021-09-13,New York,10.5,54,Drizzle
2021-09-14,New York,10.3,90,Snow
2021-09-15,New York,-1.1,60,Rain
2021-09-16,New York,15.6,70,Fog
2021-09-17,New York,5.7,82,Rain
2021-09-18,New York,38.8,46,Clouds
2021-09-19,New York,12.9,81,Drizzle
2021-09-20,New York,3.6,96,Drizzle
2021-09-21,New York,-4.2,100,Drizzle
2021-09-22,New York,39.2,21,Drizzle
2021-09-23,New York,30.4,20,Clear
2021-09-24,New York,21.8,52,Clear
2021-09-25,New York,11.9,38,Drizzle
2021-09-26,New York,21.0,47,Thunderstorm
2021-09-27,New York,23.8,96,Rain
2021-09-28,New York,35.9,88,Drizzle
2021-09-29,New York,32.6,28,Rain
2021-09-30,New York,16.1,72,Rain
2021-10-01,New York,19.6,53,Clear
2021-10-02,New York,-3.6,94,Thunderstorm
2021-10-03,New York,33.1,36,Clear
2021-10-04,New York,25.2,86,Clear
2021-10-05,New York,8.7,80,Snow
2021-10-06,New York,36.5,28,Snow
2021-10-07,New York,-7.9,20,Drizzle
2021-10-08,New York,21.0,31,Fog
2021-10-09,New York,29.6,90,Fog
2021-10-10,New York,5.4,47,Fog
2021-10-11,New York,0.9,88,Snow
2021-10-12,New York,5.9,79,Snow
2021-10-13,New York,6.4,47,Drizzle
2021-10-14,New York,11.3,85,Fog
2021-10-15,New York,13.7,37,Thunderstorm
2021-10-16,New York,26.2,47,Thunderstorm
