city,date,temperature,humidity,conditions,wind_speed,pressure,feels_like,temp_min,temp_max,wind_direction,wind_gust,visibility,cloud_cover,rain,snow,rain_1h,rain_3h,snow_1h,snow_3h,weather_main,weather_id,weather_icon,uv_index,air_quality_index,air_quality_description,latitude,longitude,heat_index,wind_chill,dew_point,precipitation_probability,weather_comfort_score
Los Angeles,2019-01-03,31.0,79,Snowy,1.5,1021.1,33.0,25.0,37.0,92,2.5,9949,49,0.0,0.76,0.0,,0.76,2.29,Snowy,600,13d,3,3,Fair,34.044901967474416,-118.24084831285734,32.1,,23.0,41.3,37.0
Miami,2019-01-03,28.0,72,Sunny,5.0,1021.5,29.0,24.0,32.0,175,7.0,14125,27,0.0,0.0,0.0,,0.0,,Sunny,800,01d,6,3,Good,25.76839325416863,-80.19392924874904,29.4,,13.8,56.2,52.8
New York,2019-01-03,9.6,56,Rainy,5.5,1006.5,8.6,3.6,14.6,164,9.5,17108,9,0.54,0.0,0.54,1.62,0.0,,Rainy,500,10d,7,3,Moderate,40.71339531454697,-74.00713069966866,,6.7,4.3,28.8,86.4
Phoenix,2019-01-03,32.5,40,Cloudy,5.3,1009.8,30.5,28.5,37.5,255,6.3,9662,72,0.0,0.0,0.0,,0.0,,Cloudy,801,02d,5,5,Moderate,33.44247070441893,-112.08305611532245,36.7,,20.0,63.4,75.4
Seattle,2019-01-03,13.6,57,Snowy,3.3,1007.1,10.6,8.6,17.6,85,4.3,17912,33,0.0,1.47,0.0,,1.47,4.42,Snowy,600,13d,4,2,Fair,47.60794896061458,-122.32354182724166,,,6.6,65.5,74.2
Los Angeles,2019-01-04,28.0,69,Rainy,1.8,1031.9,27.0,22.0,31.0,336,1.8,14195,6,5.2,0.0,5.2,15.6,0.0,,Rainy,500,10d,1,3,Moderate,34.05561484743465,-118.23878989092053,32.7,,13.3,16.7,88.9
Miami,2019-01-04,26.0,70,Rainy,4.3,1015.9,26.0,24.0,32.0,119,7.3,6123,87,0.41,0.0,0.41,1.24,0.0,,Rainy,500,10d,1,3,Moderate,25.76060634715425,-80.19824564606417,28.0,,15.5,23.4,79.3
New York,2019-01-04,10.6,66,Sunny,2.2,1009.9,11.6,7.6,15.6,225,3.2,13340,19,0.0,0.0,0.0,,0.0,,Sunny,800,01d,11,1,Good,40.717648980567766,-74.00018524385943,,,-3.9,32.7,77.5
Phoenix,2019-01-04,37.5,32,Snowy,6.8,998.6,35.5,34.5,40.5,103,10.8,17759,23,0.0,1.21,0.0,,1.21,3.63,Snowy,600,13d,6,4,Poor,33.44127068912371,-112.07499310062762,40.6,,30.5,65.3,83.6
Seattle,2019-01-04,19.6,69,Rainy,5.4,1018.9,16.6,13.6,22.6,354,7.4,9576,1,4.52,0.0,4.52,13.57,0.0,,Rainy,500,10d,8,4,Fair,47.60016927559432,-122.3288666176942,,,6.9,53.7,62.6
Los Angeles,2019-01-05,23.0,64,Snowy,3.5,1019.2,21.0,17.0,26.0,326,8.5,17344,47,0.0,3.25,0.0,,3.25,9.75,Snowy,600,13d,2,3,Poor,34.05827752429591,-118.24938188926662,24.0,,14.9,50.8,39.1
Miami,2019-01-05,27.0,80,Rainy,2.3,1021.0,27.0,21.0,32.0,331,4.3,7822,49,7.03,0.0,7.03,21.1,0.0,,Rainy,500,10d,11,3,Fair,25.76248689901925,-80.19055341023386,29.6,,13.5,52.3,93.2
New York,2019-01-05,16.7,57,Cloudy,4.9,1014.7,13.7,11.7,18.7,308,6.9,5962,34,0.0,0.0,0.0,,0.0,,Cloudy,801,02d,2,4,Good,40.70580346494196,-73.99687505969136,,,4.3,11.3,36.9
Phoenix,2019-01-05,36.6,47,Sunny,3.8,999.5,39.6,34.6,40.6,195,5.8,17271,52,0.0,0.0,0.0,,0.0,,Sunny,800,01d,8,1,Good,33.44586872054182,-112.06474852823565,41.0,,25.8,60.4,83.9
Seattle,2019-01-05,15.6,55,Cloudy,4.0,1007.8,18.6,10.6,19.6,206,9.0,16242,73,0.0,0.0,0.0,,0.0,,Cloudy,801,02d,7,3,Good,47.612038087719384,-122.33773992827935,,,0.9,53.7,94.8
Los Angeles,2019-01-06,33.0,75,Rainy,1.0,1014.1,30.0,30.0,38.0,348,4.0,19560,10,6.49,0.0,6.49,19.46,0.0,,Rainy,500,10d,3,1,Moderate,34.05034332966822,-118.23909234160898,33.9,,20.3,36.6,74.7
Miami,2019-01-06,37.0,74,Sunny,4.3,1019.6,38.0,31.0,42.0,273,4.3,9446,55,0.0,0.0,0.0,,0.0,,Sunny,800,01d,1,5,Poor,25.75983853827904,-80.19217889834381,40.8,,24.8,40.4,38.9
New York,2019-01-06,12.7,58,Sunny,5.0,1022.8,11.7,6.7,16.7,23,9.0,6024,61,0.0,0.0,0.0,,0.0,,Sunny,800,01d,3,2,Poor,40.718251975113624,-74.01484834729372,,,4.8,10.9,32.4
Phoenix,2019-01-06,39.6,42,Rainy,3.6,1007.3,37.6,35.6,43.6,240,7.6,7692,31,3.22,0.0,3.22,9.66,0.0,,Rainy,500,10d,11,5,Fair,33.45755700900533,-112.07769683863583,43.5,,31.3,39.6,63.2
Seattle,2019-01-06,7.6,52,Rainy,5.8,1022.6,8.6,2.6,9.6,257,8.8,8601,51,2.95,0.0,2.95,8.84,0.0,,Rainy,500,10d,4,1,Poor,47.612007026974275,-122.33118641140034,,2.8,-1.8,37.4,73.6
Los Angeles,2019-01-07,33.0,89,Snowy,4.5,1030.5,30.0,28.0,39.0,20,8.5,9588,48,0.0,4.47,0.0,,4.47,13.41,Snowy,600,13d,7,1,Poor,34.058916393919176,-118.23852836683312,37.7,,24.5,50.4,57.6
Miami,2019-01-07,40,90,Sunny,2.0,1015.8,40,36,45,35,3.0,6269,81,0.0,0.0,0.0,,0.0,,Sunny,800,01d,1,1,Poor,25.77036689820882,-80.19062302310657,42.7,,27.9,45.2,90.6
New York,2019-01-07,16.7,57,Snowy,4.1,1020.0,13.7,11.7,20.7,202,7.1,13860,16,0.0,3.86,0.0,,3.86,11.58,Snowy,600,13d,8,5,Fair,40.71757716178708,-74.00231036424262,,,10.6,24.5,61.7
Phoenix,2019-01-07,45,41,Snowy,4.1,1015.0,45,41,48,330,8.1,8813,56,0.0,2.62,0.0,,2.62,7.86,Snowy,600,13d,6,4,Poor,33.45274045119094,-112.0655682332863,49.5,,32.5,42.0,67.5
Seattle,2019-01-07,10.6,62,Rainy,5.7,1021.2,12.6,8.6,14.6,41,10.7,18483,5,2.76,0.0,2.76,8.28,0.0,,Rainy,500,10d,1,2,Good,47.59661754622031,-122.34193148392266,,,2.7,13.7,74.9
Los Angeles,2019-01-08,28.0,62,Rainy,3.1,1020.8,31.0,24.0,31.0,91,8.1,10673,23,7.71,0.0,7.71,23.13,0.0,,Rainy,500,10d,8,3,Good,34.04686180847048,-118.24609977669874,32.4,,17.6,56.6,75.9
Miami,2019-01-08,31.0,73,Stormy,4.9,1032.0,31.0,25.0,34.0,175,8.9,17531,44,5.52,0.0,5.52,16.57,0.0,,Stormy,200,11d,10,2,Moderate,25.752868383667703,-80.18929902286469,34.3,,16.2,71.9,82.3
New York,2019-01-08,9.8,58,Rainy,2.7,1009.0,10.8,3.8,13.8,144,3.7,12905,38,3.77,0.0,3.77,11.31,0.0,,Rainy,500,10d,5,4,Moderate,40.712086526980535,-74.01290853308912,,,-4.9,64.0,63.3
Phoenix,2019-01-08,37.6,50,Cloudy,3.6,1011.1,35.6,34.6,42.6,111,8.6,10234,83,0.0,0.0,0.0,,0.0,,Cloudy,801,02d,1,5,Fair,33.44919558465811,-112.07175074246157,38.4,,23.5,21.3,32.2
Seattle,2019-01-08,5.7,53,Rainy,2.3,1020.8,3.7,2.7,9.7,177,6.3,12031,42,1.15,0.0,1.15,3.46,0.0,,Rainy,500,10d,5,5,Poor,47.606251714435274,-122.33812103349344,,,-6.7,12.0,82.0
Los Angeles,2019-01-09,31.0,80,Sunny,2.5,1015.8,29.0,28.0,34.0,269,3.5,15033,39,0.0,0.0,0.0,,0.0,,Sunny,800,01d,2,3,Good,34.04741763368134,-118.24411785710097,32.0,,22.2,33.6,73.1
Miami,2019-01-09,32.0,72,Stormy,1.9,1028.5,32.0,28.0,38.0,267,2.9,5547,77,6.82,0.0,6.82,20.45,0.0,,Stormy,200,11d,6,4,Moderate,25.752526805431653,-80.18884874905388,32.3,,22.0,21.0,61.8
New York,2019-01-09,15.8,57,Rainy,3.6,1018.7,14.8,12.8,20.8,239,3.6,5238,66,6.43,0.0,6.43,19.28,0.0,,Rainy,500,10d,11,2,Fair,40.71842105520925,-74.01198123986026,,,10.7,57.7,86.2
Phoenix,2019-01-09,37.6,42,Sunny,5.2,1004.4,36.6,33.6,41.6,188,10.2,15397,98,0.0,0.0,0.0,,0.0,,Sunny,800,01d,8,5,Poor,33.44251590455624,-112.06542847745678,40.0,,24.6,22.5,69.3
Seattle,2019-01-09,12.7,69,Snowy,3.4,1017.4,12.7,8.7,15.7,242,5.4,12838,67,0.0,0.54,0.0,,0.54,1.63,Snowy,600,13d,8,5,Moderate,47.613516436419765,-122.33748452935015,,,4.0,61.2,31.6
Los Angeles,2019-01-10,35,81,Rainy,4.0,1017.8,35,31,41,56,4.0,7120,59,0.48,0.0,0.48,1.45,0.0,,Rainy,500,10d,6,5,Fair,34.04744510321322,-118.23521544634006,37.2,,25.8,17.6,31.8
Miami,2019-01-10,27.1,64,Rainy,1.7,1022.2,26.1,21.1,31.1,283,6.7,6024,4,1.8,0.0,1.8,5.41,0.0,,Rainy,500,10d,1,2,Poor,25.75707372659015,-80.1887720929573,31.3,,18.7,67.2,56.2
New York,2019-01-10,11.8,60,Rainy,4.5,1015.8,9.8,6.8,17.8,3,7.5,9701,39,2.76,0.0,2.76,8.28,0.0,,Rainy,500,10d,7,5,Fair,40.70820590116686,-73.99754594723694,,,1.8,78.1,42.0
Phoenix,2019-01-10,33.6,31,Cloudy,3.1,999.4,36.6,29.6,35.6,321,7.1,19702,0,0.0,0.0,0.0,,0.0,,Cloudy,801,02d,11,5,Fair,33.45355786692718,-112.06507333868745,38.2,,24.7,72.2,31.8
Seattle,2019-01-10,15.7,65,Rainy,3.1,1011.0,17.7,10.7,17.7,230,6.1,9238,80,6.56,0.0,6.56,19.69,0.0,,Rainy,500,10d,4,5,Good,47.60471855756026,-122.33106152333022,,,3.7,47.9,55.5
Los Angeles,2019-01-11,31.1,81,Rainy,4.1,1023.7,34.1,28.1,36.1,10,6.1,16616,5,3.9,0.0,3.9,11.7,0.0,,Rainy,500,10d,9,1,Good,34.0516408227111,-118.23436252409846,34.9,,23.0,43.3,35.0
Miami,2019-01-11,34.1,70,Sunny,2.5,1015.2,36.1,29.1,40.1,249,6.5,17409,86,0.0,0.0,0.0,,0.0,,Sunny,800,01d,6,3,Good,25.754679988671032,-80.18263097848767,37.7,,23.3,39.3,48.4
New York,2019-01-11,20.9,52,Cloudy,4.9,1004.6,19.9,16.9,24.9,229,6.9,8483,71,0.0,0.0,0.0,,0.0,,Cloudy,801,02d,8,3,Moderate,40.711616167595764,-74.00247721518949,24.5,,12.8,63.4,82.3
Phoenix,2019-01-11,35.6,48,Sunny,5.4,1000.2,36.6,29.6,41.6,52,5.4,17452,86,0.0,0.0,0.0,,0.0,,Sunny,800,01d,6,1,Poor,33.45207806740375,-112.06888499131767,40.2,,26.4,59.1,35.2
Seattle,2019-01-11,15.7,69,Snowy,5.0,1021.2,17.7,13.7,19.7,230,6.0,7334,18,0.0,2.86,0.0,,2.86,8.58,Snowy,600,13d,6,3,Moderate,47.59805202191757,-122.32671426461502,,,1.0,14.1,42.5
Los Angeles,2019-01-12,31.1,78,Cloudy,2.2,1029.1,31.1,25.1,36.1,140,3.2,15687,4,0.0,0.0,0.0,,0.0,,Cloudy,801,02d,3,3,Fair,34.04553246557431,-118.25057746948163,34.0,,20.7,77.8,73.3
Miami,2019-01-12,39.1,88,Rainy,1.4,1018.2,40.1,36.1,43.1,56,3.4,8302,97,7.1,0.0,7.1,21.3,0.0,,Rainy,500,10d,10,4,Poor,25.760365621474,-80.19189022928443,43.5,,29.4,47.2,92.0
New York,2019-01-12,10.9,62,Rainy,3.1,1017.2,9.9,5.9,12.9,253,5.1,10448,55,2.7,0.0,2.7,8.11,0.0,,Rainy,500,10d,8,3,Fair,40.70506420362175,-74.00611064759775,,,1.9,59.0,61.4
Phoenix,2019-01-12,45,47,Sunny,5.8,999.9,43,39,47,33,5.8,17567,67,0.0,0.0,0.0,,0.0,,Sunny,800,01d,1,3,Fair,33.44932503426586,-112.07116572546427,46.3,,32.3,32.8,53.2
Seattle,2019-01-12,18.7,63,Rainy,2.9,1007.9,19.7,14.7,22.7,13,6.9,7715,32,6.18,0.0,6.18,18.55,0.0,,Rainy,500,10d,1,4,Fair,47.60072505560113,-122.32971643670935,,,9.3,63.6,47.7
Los Angeles,2019-01-13,30.1,74,Sunny,1.8,1023.6,29.1,28.1,35.1,291,2.8,11107,23,0.0,0.0,0.0,,0.0,,Sunny,800,01d,11,1,Poor,34.04479638977525,-118.24954087114622,32.6,,20.6,61.8,50.1
Miami,2019-01-13,33.1,70,Snowy,1.6,1020.0,34.1,27.1,36.1,47,2.6,19642,81,0.0,2.58,0.0,,2.58,7.74,Snowy,600,13d,11,5,Good,25.753071317940467,-80.20094682655886,35.8,,23.5,72.7,49.6
New York,2019-01-13,17.9,63,Rainy,4.1,1018.3,16.9,11.9,20.9,303,8.1,15428,16,1.56,0.0,1.56,4.69,0.0,,Rainy,500,10d,2,4,Good,40.7210077224976,-74.00842250494759,,,3.4,32.5,62.0
Phoenix,2019-01-13,36.7,48,Cloudy,6.5,1007.4,39.7,32.7,39.7,81,11.5,15353,3,0.0,0.0,0.0,,0.0,,Cloudy,801,02d,11,1,Poor,33.44871521408623,-112.08396301346394,40.7,,26.6,44.8,93.9
Seattle,2019-01-13,6.8,62,Rainy,4.3,1014.3,3.8,3.8,8.8,84,8.3,13120,63,0.94,0.0,0.94,2.83,0.0,,Rainy,500,10d,6,4,Moderate,47.612518306887935,-122.34117305904648,,1.7,-3.4,23.6,93.9
Los Angeles,2019-01-14,24.1,66,Sunny,4.9,1017.7,27.1,20.1,29.1,189,6.9,17263,87,0.0,0.0,0.0,,0.0,,Sunny,800,01d,9,5,Poor,34.04731582749133,-118.24670183937,25.8,,18.5,12.5,41.9
Miami,2019-01-14,30.1,79,Rainy,1.5,1033.1,27.1,25.1,34.1,246,2.5,19462,29,4.62,0.0,4.62,13.87,0.0,,Rainy,500,10d,9,4,Poor,25.762966582156103,-80.18809810318359,31.9,,19.7,20.5,77.3
New York,2019-01-14,14.0,51,Snowy,5.1,1009.4,17.0,11.0,20.0,339,9.1,7846,29,0.0,3.8,0.0,,3.8,11.41,Snowy,600,13d,1,5,Fair,40.70400893366979,-74.00375867467976,,,3.1,40.3,62.5
Phoenix,2019-01-14,45,37,Cloudy,6.9,1008.9,47,43,49,350,9.9,18850,56,0.0,0.0,0.0,,0.0,,Cloudy,801,02d,7,5,Fair,33.448877052878004,-112.07279050562641,45.2,,36.6,39.8,44.5
Seattle,2019-01-14,15.8,56,Rainy,2.5,1008.8,15.8,9.8,19.8,183,2.5,6970,72,1.0,0.0,1.0,3.0,0.0,,Rainy,500,10d,11,4,Poor,47.60140561136189,-122.33455420807344,,,6.2,39.5,45.5
Los Angeles,2019-01-15,25.1,64,Rainy,1.7,1017.1,26.1,19.1,28.1,97,4.7,12358,51,3.17,0.0,3.17,9.51,0.0,,Rainy,500,10d,11,3,Good,34.0561383721127,-118.23395044484579,27.7,,19.5,20.6,73.7
Miami,2019-01-15,36.1,82,Snowy,3.9,1013.9,34.1,32.1,42.1,10,4.9,13927,87,0.0,4.6,0.0,,4.6,13.8,Snowy,600,13d,4,2,Fair,25.757838255375358,-80.20010401568827,38.4,,25.0,16.9,62.4
New York,2019-01-15,13.0,50,Snowy,3.3,1011.8,12.0,10.0,18.0,298,3.3,8171,48,0.0,0.32,0.0,,0.32,0.96,Snowy,600,13d,3,5,Fair,40.71821774568837,-74.01189462612197,,,0.4,16.3,65.8
Phoenix,2019-01-15,35.7,30,Cloudy,4.5,1010.2,33.7,31.7,41.7,173,9.5,6433,71,0.0,0.0,0.0,,0.0,,Cloudy,801,02d,10,5,Fair,33.45800731261515,-112.0757022155328,40.1,,24.5,34.7,73.2
Seattle,2019-01-15,10.8,70,Rainy,4.7,1018.1,8.8,6.8,16.8,186,9.7,5318,81,4.52,0.0,4.52,13.57,0.0,,Rainy,500,10d,8,2,Good,47.612689610506216,-122.32534847886434,,,5.4,41.1,69.6
Los Angeles,2019-01-16,25.1,60,Rainy,2.6,1025.0,25.1,21.1,27.1,337,5.6,12149,64,0.87,0.0,0.87,2.62,0.0,,Rainy,500,10d,5,1,Poor,34.04891655798078,-118.23612059221004,25.1,,11.9,68.4,69.0
Miami,2019-01-16,36.1,82,Sunny,2.6,1017.4,39.1,32.1,39.1,77,3.6,5222,5,0.0,0.0,0.0,,0.0,,Sunny,800,01d,7,3,Moderate,25.75677304299957,-80.19488965022683,36.7,,30.6,35.4,88.4
New York,2019-01-16,19.0,64,Rainy,5.9,1019.4,17.0,17.0,24.0,150,6.9,7699,98,7.25,0.0,7.25,21.75,0.0,,Rainy,500,10d,10,4,Good,40.70905945857205,-74.002440738357,,,10.8,41.0,46.2
Phoenix,2019-01-16,45,42,Sunny,6.4,1014.0,47,42,47,315,8.4,9524,66,0.0,0.0,0.0,,0.0,,Sunny,800,01d,3,5,Good,33.45708603334221,-112.08119199820896,48.1,,39.4,31.5,36.1
Seattle,2019-01-16,17.8,67,Snowy,5.2,1014.5,18.8,12.8,20.8,132,9.2,6004,59,0.0,2.87,0.0,,2.87,8.61,Snowy,600,13d,8,5,Good,47.614318166020425,-122.3320890437412,,,7.6,15.1,36.4
Los Angeles,2019-01-17,34.1,75,Stormy,1.7,1019.2,32.1,29.1,40.1,94,3.7,12779,13,3.63,0.0,3.63,10.88,0.0,,Stormy,200,11d,9,1,Moderate,34.052353615161394,-118.24326954507387,37.4,,27.6,11.0,35.0
Miami,2019-01-17,37.1,84,Rainy,2.5,1031.1,35.1,33.1,42.1,24,6.5,11181,59,3.38,0.0,3.38,10.14,0.0,,Rainy,500,10d,2,1,Good,25.767683607246127,-80.18377176012812,38.0,,23.3,43.0,39.6
New York,2019-01-17,8.1,53,Snowy,6.0,1014.6,11.1,6.1,10.1,131,10.0,14847,76,0.0,0.12,0.0,,0.12,0.35,Snowy,600,13d,4,5,Good,40.70321848359161,-74.00761863956568,,4.3,1.9,48.9,86.2
Phoenix,2019-01-17,45,44,Sunny,4.7,1008.8,46,40,51,86,4.7,10040,44,0.0,0.0,0.0,,0.0,,Sunny,800,01d,11,5,Good,33.43916574332455,-112.07139731999266,49.8,,35.9,75.8,45.0
Seattle,2019-01-17,8.8,62,Cloudy,4.5,1020.5,9.8,6.8,12.8,279,5.5,13804,91,0.0,0.0,0.0,,0.0,,Cloudy,801,02d,7,5,Moderate,47.59966114109911,-122.33051367763134,,3.4,-0.1,68.8,84.0
Los Angeles,2019-01-18,27.1,75,Rainy,4.0,1023.5,30.1,24.1,32.1,331,9.0,14516,38,5.79,0.0,5.79,17.37,0.0,,Rainy,500,10d,3,3,Moderate,34.04949401956822,-118.23907044005338,32.1,,15.6,11.3,46.5
Miami,2019-01-18,34.1,86,Stormy,1.8,1030.1,37.1,31.1,40.1,11,6.8,12357,66,7.79,0.0,7.79,23.37,0.0,,Stormy,200,11d,11,5,Good,25.76094976655027,-80.18238854238308,35.0,,23.8,38.3,52.7
New York,2019-01-18,6.1,50,Snowy,3.6,1021.3,6.1,0.1,8.1,263,8.6,6476,57,0.0,4.82,0.0,,4.82,14.47,Snowy,600,13d,1,2,Fair,40.716091925988934,-74.01122967107496,,1.3,-4.9,31.5,59.1
Phoenix,2019-01-18,44.7,35,Rainy,3.8,999.8,47.7,40.7,48.7,125,8.8,14792,72,0.74,0.0,0.74,2.23,0.0,,Rainy,500,10d,3,2,Good,33.45053419004112,-112.07780964603818,46.3,,34.3,76.8,83.0
Seattle,2019-01-18,5,53,Sunny,5.2,1009.7,3,0,10,326,6.2,17003,84,0.0,0.0,0.0,,0.0,,Sunny,800,01d,5,1,Poor,47.60209417434247,-122.34151702456448,,-0.3,-0.0,71.7,82.1
Los Angeles,2019-01-19,29.1,76,Snowy,1.5,1032.6,28.1,23.1,34.1,354,5.5,6148,94,0.0,0.42,0.0,,0.42,1.27,Snowy,600,13d,5,1,Moderate,34.05772020425161,-118.23820670872384,30.4,,14.3,35.6,59.3
Miami,2019-01-19,38.1,88,Sunny,1.9,1025.2,36.1,36.1,40.1,14,2.9,13034,23,0.0,0.0,0.0,,0.0,,Sunny,800,01d,6,5,Fair,25.761536576073937,-80.19457938186419,38.6,,28.0,25.5,35.8
New York,2019-01-19,5.2,68,Rainy,3.8,1022.8,2.2,1.2,11.2,207,3.8,5571,17,2.34,0.0,2.34,7.02,0.0,,Rainy,500,10d,2,4,Good,40.704103033050366,-73.99636512872799,,2.2,-4.5,22.4,75.3
Phoenix,2019-01-19,40.7,39,Sunny,4.7,1016.9,40.7,34.7,45.7,212,6.7,17040,50,0.0,0.0,0.0,,0.0,,Sunny,800,01d,8,1,Moderate,33.45029653930925,-112.07323214938128,45.7,,31.1,74.4,35.2
Seattle,2019-01-19,14.9,67,Sunny,4.1,1022.2,12.9,11.9,18.9,126,7.1,8309,77,0.0,0.0,0.0,,0.0,,Sunny,800,01d,4,1,Poor,47.60885711747668,-122.32828939615587,,,6.7,71.0,76.4
Los Angeles,2019-01-20,25.1,68,Stormy,1.5,1019.3,27.1,20.1,31.1,329,5.5,9759,82,1.36,0.0,1.36,4.07,0.0,,Stormy,200,11d,8,5,Poor,34.0573434893931,-118.2458891427307,30.1,,13.5,63.4,78.0
Miami,2019-01-20,36.1,85,Cloudy,2.4,1026.0,38.1,34.1,42.1,178,6.4,18457,27,0.0,0.0,0.0,,0.0,,Cloudy,801,02d,6,3,Good,25.75368450695238,-80.20114960005381,40.5,,26.5,70.9,68.4
New York,2019-01-20,7.2,53,Rainy,4.7,1012.3,9.2,5.2,12.2,89,7.7,8445,77,3.21,0.0,3.21,9.62,0.0,,Rainy,500,10d,6,3,Good,40.703088323188005,-74.00305136797336,,4.2,-2.3,76.8,90.6
Phoenix,2019-01-20,45,46,Sunny,5.3,1001.6,45,39,49,112,5.3,5979,11,0.0,0.0,0.0,,0.0,,Sunny,800,01d,6,2,Poor,33.44359376512237,-112.08069266906801,49.9,,32.7,42.6,84.5
Seattle,2019-01-20,18.9,64,Sunny,5.2,1015.6,18.9,14.9,24.9,186,8.2,5766,76,0.0,0.0,0.0,,0.0,,Sunny,800,01d,4,1,Fair,47.604304822964835,-122.3299671187492,,,12.6,28.7,77.3
Los Angeles,2019-01-21,29.1,70,Snowy,2.0,1014.7,31.1,25.1,35.1,294,7.0,8648,13,0.0,4.06,0.0,,4.06,12.17,Snowy,600,13d,7,2,Good,34.046117487152095,-118.24561034653028,31.0,,21.9,55.4,53.4
Miami,2019-01-21,40,71,Rainy,3.1,1026.7,43,38,42,198,8.1,15354,78,5.95,0.0,5.95,17.86,0.0,,Rainy,500,10d,11,1,Poor,25.771126227027423,-80.18838199406022,41.2,,25.4,57.3,67.1
New York,2019-01-21,18.2,67,Rainy,3.6,1018.5,20.2,13.2,23.2,25,8.6,6208,79,2.78,0.0,2.78,8.33,0.0,,Rainy,500,10d,7,5,Moderate,40.71402624781578,-74.00287541780271,,,12.6,76.6,93.2
Phoenix,2019-01-21,45,33,Sunny,4.5,1005.8,47,42,51,4,4.5,12999,67,0.0,0.0,0.0,,0.0,,Sunny,800,01d,5,5,Good,33.43852597507209,-112.07163574770813,47.2,,33.9,29.9,68.6
Seattle,2019-01-21,5.9,53,Cloudy,2.2,1012.8,7.9,-0.1,7.9,318,7.2,18875,37,0.0,0.0,0.0,,0.0,,Cloudy,801,02d,7,3,Good,47.61574806470481,-122.3261772864734,,,-4.4,71.5,71.5
Los Angeles,2019-01-22,33.1,79,Rainy,2.1,1030.0,30.1,27.1,38.1,75,5.1,18148,97,4.03,0.0,4.03,12.09,0.0,,Rainy,500,10d,4,5,Fair,34.05724218544848,-118.24002722696089,35.8,,24.3,67.6,81.3
Miami,2019-01-22,27.1,61,Cloudy,1.7,1015.7,24.1,25.1,29.1,184,6.7,16519,69,0.0,0.0,0.0,,0.0,,Cloudy,801,02d,11,4,Fair,25.76996878935238,-80.19751687101632,27.2,,12.7,11.8,56.6
New York,2019-01-22,7.3,50,Rainy,4.1,1004.5,6.3,4.3,13.3,360,4.1,9403,68,6.48,0.0,6.48,19.43,0.0,,Rainy,500,10d,5,3,Poor,40.70870227183464,-74.01444082223017,,5.1,0.5,45.8,91.0
Phoenix,2019-01-22,34.8,37,Sunny,4.4,1001.8,37.8,28.8,39.8,175,9.4,15270,8,0.0,0.0,0.0,,0.0,,Sunny,800,01d,2,2,Fair,33.4525063962752,-112.0656993016075,36.9,,25.5,72.1,66.6
